index,Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,DaysOnLoan
0,1,Catcher in the Rye,2023-02-20,2023-02-25,2 weeks,1.0,5.0
1,2,Lord of the rings the two towers,2023-03-24,2023-03-21,2 weeks,2.0,-3.0
2,3,Lord of the rings the return of the kind,2023-03-29,2023-03-25,2 weeks,3.0,-4.0
3,4,The hobbit,2023-04-02,2023-03-25,2 weeks,4.0,-8.0
4,5,Dune,2023-04-02,2023-03-25,2 weeks,5.0,-8.0
5,6,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,29.0
6,7,IT,2063-04-10,2023-04-03,2 weeks,6.0,-14617.0
7,8,Misery,2023-04-15,2023-04-03,2 weeks,7.0,-12.0
8,9,Catch 22,2023-04-15,2023-04-16,2 weeks,7.0,1.0
9,10,Animal Farm,2023-04-20,2023-04-24,2 weeks,2.0,4.0
10,11,1984,2023-04-23,2023-04-27,2 weeks,8.0,4.0
11,12,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,29.0
12,13,East of Eden,2023-04-30,2023-05-05,2 weeks,2.0,5.0
13,14,America Is in the Heart,2023-05-01,2023-05-07,2 weeks,3.0,6.0
14,15,Wuthering Heights,2023-05-01,2023-05-10,2 weeks,9.0,9.0
15,16,Dark Tales,2023-05-15,2023-06-01,2 weeks,2.0,17.0
17,18,Les Miserables,2023-06-03,2023-06-07,2 weeks,5.0,4.0
18,19,Dracula,2023-06-10,2023-07-10,2 weeks,10.0,30.0
19,20,Frankenstein,2023-06-01,2023-06-20,2 weeks,2.0,19.0
